name,date (local),time (local),timezone,date (UTC),time (UTC),lat,lon,elev (m)
005,2016-05-26,00:33:05,America/Chicago,2016-05-26,05:33:05,38.964812,-95.252201,286.233551
006,2016-05-26,00:34:27,America/Chicago,2016-05-26,05:34:27,38.976736,-95.205051,254.534088
007,2016-05-26,00:45:57,America/Chicago,2016-05-26,05:45:57,38.978765,-95.19257,254.284348
008,2016-05-26,00:47:41,America/Chicago,2016-05-26,05:47:41,38.978768,-95.192687,254.722061
009,2016-05-26,00:50:40,America/Chicago,2016-05-26,05:50:40,38.978805,-95.201298,254.462616
011,2016-06-05,14:36:51,America/Chicago,2016-06-05,19:36:51,39.390484,-94.890707,233.985214
012,2017-02-21,18:17:29,America/Chicago,2017-02-22,00:17:29,38.96481,-95.252226,296.710083
013,2017-02-21,18:23:28,America/Chicago,2017-02-22,00:23:28,33.238529,-85.962697,298.040283
014,2017-02-21,18:56:21,America/Chicago,2017-02-22,00:56:21,33.239457,-85.947246,289.631226
015,2017-02-21,20:52:37,America/Chicago,2017-02-22,02:52:37,33.398788,-85.625129,254.741226
016,2017-03-25,23:02:55,America/Chicago,2017-03-26,04:02:55,31.072371,-86.638955,68.413437
017,2017-03-25,23:13:53,America/Chicago,2017-03-26,04:13:53,31.061932,-86.623898,52.948116
018,2017-03-25,23:13:55,America/Chicago,2017-03-26,04:13:55,31.061932,-86.623893,52.970673
019,2017-03-25,23:18:41,America/Chicago,2017-03-26,04:18:41,31.060833,-86.622479,62.094807
020,2017-03-26,00:39:23,America/Chicago,2017-03-26,05:39:23,31.107831,-86.622467,88.778175
022,2017-04-08,12:48:22,America/Chicago,2017-04-08,17:48:22,31.169104,-86.537391,76.48394
023,2017-04-08,13:54:19,America/Chicago,2017-04-08,18:54:19,31.164179,-86.533552,74.988724
024,2017-04-08,13:54:22,America/Chicago,2017-04-08,18:54:22,31.164179,-86.533556,74.981407
025,2017-04-08,14:15:51,America/Chicago,2017-04-08,19:15:51,31.103688,-86.526085,96.951881
026,2017-04-08,14:15:52,America/Chicago,2017-04-08,19:15:52,31.103631,-86.526045,96.917755
027,2017-04-08,14:15:54,America/Chicago,2017-04-08,19:15:54,31.103492,-86.52597,96.817795
028,2017-04-08,14:15:54,America/Chicago,2017-04-08,19:15:54,31.103471,-86.525958,96.841141
029,2017-04-08,14:15:54,America/Chicago,2017-04-08,19:15:54,31.103447,-86.525946,96.771927
030,2017-04-08,14:15:55,America/Chicago,2017-04-08,19:15:55,31.103379,-86.5259,96.767143
031,2017-04-08,14:15:58,America/Chicago,2017-04-08,19:15:58,31.103219,-86.525785,96.759758
032,2017-04-08,14:15:59,America/Chicago,2017-04-08,19:15:59,31.103145,-86.525735,96.747093
033,2017-04-08,14:16:00,America/Chicago,2017-04-08,19:16:00,31.103111,-86.525714,96.747826
034,2017-04-08,14:16:01,America/Chicago,2017-04-08,19:16:01,31.103015,-86.52564,96.736526
035,2017-04-08,14:16:03,America/Chicago,2017-04-08,19:16:03,31.102935,-86.525578,96.726028
036,2017-04-08,14:16:03,America/Chicago,2017-04-08,19:16:03,31.102894,-86.525542,96.72599
037,2017-04-08,14:16:04,America/Chicago,2017-04-08,19:16:04,31.102867,-86.52552,96.720573
038,2017-04-08,14:16:05,America/Chicago,2017-04-08,19:16:05,31.102812,-86.52547,96.715179
039,2017-04-08,14:16:07,America/Chicago,2017-04-08,19:16:07,31.102699,-86.525345,96.704224
040,2017-04-08,14:16:08,America/Chicago,2017-04-08,19:16:08,31.102644,-86.525291,96.698799
041,2017-04-08,14:16:09,America/Chicago,2017-04-08,19:16:09,31.102623,-86.525269,96.693466
042,2017-04-08,14:16:09,America/Chicago,2017-04-08,19:16:09,31.102601,-86.525241,96.693466
043,2017-04-08,14:16:10,America/Chicago,2017-04-08,19:16:10,31.102576,-86.525213,96.687904
044,2017-04-08,14:16:13,America/Chicago,2017-04-08,19:16:13,31.102414,-86.525011,96.670891
045,2017-04-08,14:44:51,America/Chicago,2017-04-08,19:44:51,31.091752,-86.515322,51.732025
047,2017-04-08,16:52:48,America/Chicago,2017-04-08,21:52:48,31.089711,-86.553729,83.949165
048,2017-04-09,09:30:56,America/Chicago,2017-04-09,14:30:56,31.102095,-86.539437,44.125019
054,2017-10-16,14:26:38,America/Chicago,2017-10-16,19:26:38,32.659892,-85.488215,212.125092
055,2018-02-17,18:35:42,America/Chicago,2018-02-18,00:35:42,33.584347,-85.740643,182.821655
056,2018-02-17,18:40:23,America/Chicago,2018-02-18,00:40:23,33.582945,-85.735393,186.536163
057,2018-02-17,18:44:42,America/Chicago,2018-02-18,00:44:42,33.582946,-85.73524,187.763031
058,2018-02-17,18:49:51,America/Chicago,2018-02-18,00:49:51,33.583964,-85.739092,189.105286
059,2018-02-17,19:19:23,America/Chicago,2018-02-18,01:19:23,33.55274,-85.829132,218.285553
060,2018-02-17,19:33:20,America/Chicago,2018-02-18,01:33:20,33.524395,-85.827589,296.250427
061,2018-02-17,20:04:52,America/Chicago,2018-02-18,02:04:52,33.486905,-85.829859,360.656067
062,2018-02-17,20:11:06,America/Chicago,2018-02-18,02:11:06,33.474224,-85.836814,354.841766
063,2018-02-17,20:27:42,America/Chicago,2018-02-18,02:27:42,33.485484,-85.888566,311.683319
064,2018-02-17,21:32:30,America/Chicago,2018-02-18,03:32:30,33.316494,-86.052932,457.919128
065,2018-02-17,21:53:19,America/Chicago,2018-02-18,03:53:19,33.284428,-86.084432,509.147949
066,2018-02-17,22:15:08,America/Chicago,2018-02-18,04:15:08,33.245762,-86.081675,482.474487
067,2018-02-21,13:48:46,America/Chicago,2018-02-21,19:48:46,32.496279,-85.609584,116.937172
068,2018-03-10,20:14:37,America/Chicago,2018-03-11,02:14:37,32.910571,-86.092722,234.518692
069,2018-03-10,21:00:02,America/Chicago,2018-03-11,03:00:02,32.931161,-86.084646,242.755707
070,2018-03-10,21:41:30,America/Chicago,2018-03-11,03:41:30,32.951037,-86.145395,192.740189
071,2018-03-10,22:38:55,America/Chicago,2018-03-11,04:38:55,32.897867,-86.26061,172.907852
072,2018-03-10,23:14:04,America/Chicago,2018-03-11,05:14:04,32.816418,-86.38018,164.123672
073,2018-03-29,22:16:56,America/Chicago,2018-03-30,03:16:56,31.990158,-85.070458,62.9291
074,2018-03-29,22:21:34,America/Chicago,2018-03-30,03:21:34,31.990423,-85.074232,65.815559
075,2018-04-13,22:09:29,America/Chicago,2018-04-14,03:09:29,31.556127,-86.825138,67.818428
076,2018-04-14,02:23:10,America/Chicago,2018-04-14,07:23:10,31.158302,-86.554303,70.988708
077,2018-04-14,10:06:26,America/Chicago,2018-04-14,15:06:26,31.159358,-86.556733,76.469856
078,2018-04-14,10:32:20,America/Chicago,2018-04-14,15:32:20,31.157845,-86.554903,67.548347
079,2018-04-14,11:18:09,America/Chicago,2018-04-14,16:18:09,31.15759,-86.554181,70.461044
080,2018-04-14,13:07:41,America/Chicago,2018-04-14,18:07:41,31.101412,-86.538824,66.332764
081,2018-05-03,13:29:56,America/Chicago,2018-05-03,18:29:56,31.094981,-86.53041,49.956421
082,2018-05-04,12:08:13,America/Chicago,2018-05-04,17:08:13,30.565142,-86.868448,9.814411
083,2018-05-04,13:09:38,America/Chicago,2018-05-04,18:09:38,30.54806,-86.931291,13.628584
084,2018-05-04,13:40:07,America/Chicago,2018-05-04,18:40:07,30.548191,-86.930668,14.440956
085,2018-05-08,22:46:28,America/Chicago,2018-05-09,03:46:28,32.863906,-85.37628,207.796188
086,2018-05-15,19:58:33,America/Chicago,2018-05-16,00:58:33,32.458607,-85.331251,159.559189
087,2018-05-15,20:25:30,America/Chicago,2018-05-16,01:25:30,32.407781,-85.473658,137.077988
088,2018-05-15,20:36:21,America/Chicago,2018-05-16,01:36:21,32.383356,-85.485718,119.503288
089,2018-05-15,20:56:48,America/Chicago,2018-05-16,01:56:48,32.301011,-85.479823,148.094299
090,2018-05-17,00:34:18,America/Chicago,2018-05-17,05:34:18,32.661893,-85.537323,205.977646
091,2018-05-17,00:44:42,America/Chicago,2018-05-17,05:44:42,32.663524,-85.51508,233.240326
092,2018-05-17,21:31:57,America/Chicago,2018-05-18,02:31:57,32.514849,-85.537936,139.361618
093,2018-05-17,21:44:21,America/Chicago,2018-05-18,02:44:21,32.497794,-85.567941,128.133194
094,2018-05-17,21:49:34,America/Chicago,2018-05-18,02:49:34,32.502813,-85.574685,104.385811
095,2018-05-17,22:28:28,America/Chicago,2018-05-18,03:28:28,32.476884,-85.578933,150.494888
096,2018-05-17,23:31:01,America/Chicago,2018-05-18,04:31:01,32.437798,-85.646492,92.927574
097,2018-05-17,23:39:40,America/Chicago,2018-05-18,04:39:40,32.439267,-85.648664,95.284081
098,2018-05-18,00:25:12,America/Chicago,2018-05-18,05:25:12,32.351689,-85.70892,96.424507
099,2018-05-28,20:33:08,America/Chicago,2018-05-29,01:33:08,32.814696,-86.939677,184.62941
100,2018-05-28,20:33:14,America/Chicago,2018-05-29,01:33:14,32.814697,-86.939677,184.65033
101,2018-05-28,20:41:23,America/Chicago,2018-05-29,01:41:23,32.810923,-86.989709,116.153816
102,2018-05-28,20:42:41,America/Chicago,2018-05-29,01:42:41,32.810938,-86.989673,116.288261
103,2018-05-28,20:45:09,America/Chicago,2018-05-29,01:45:09,32.809752,-86.997352,116.479172
104,2018-05-28,20:45:37,America/Chicago,2018-05-29,01:45:37,32.809854,-86.997946,117.792343
105,2018-05-28,20:46:34,America/Chicago,2018-05-29,01:46:34,32.810222,-87.000517,118.242332
106,2018-05-28,20:54:00,America/Chicago,2018-05-29,01:54:00,32.823002,-86.993435,129.399277
107,2018-05-28,20:55:39,America/Chicago,2018-05-29,01:55:39,32.824061,-86.993138,132.190781
108,2018-05-28,21:04:45,America/Chicago,2018-05-29,02:04:45,32.804496,-87.030779,122.196533
109,2018-05-28,21:11:59,America/Chicago,2018-05-29,02:11:59,32.767027,-87.070731,112.112144
110,2018-05-28,21:13:29,America/Chicago,2018-05-29,02:13:29,32.765918,-87.071843,113.213852
111,2018-05-28,21:50:20,America/Chicago,2018-05-29,02:50:20,32.78932,-86.908503,176.007675
112,2018-05-28,21:59:43,America/Chicago,2018-05-29,02:59:43,32.738534,-86.903477,142.484314
113,2018-05-28,22:07:28,America/Chicago,2018-05-29,03:07:28,32.735748,-86.881494,96.408867
114,2018-05-28,22:09:40,America/Chicago,2018-05-29,03:09:40,32.732909,-86.877073,107.879967
115,2018-05-28,22:37:15,America/Chicago,2018-05-29,03:37:15,32.748216,-86.798059,172.59137
116,2018-05-28,22:55:51,America/Chicago,2018-05-29,03:55:51,32.787421,-86.758471,178.977692
117,2018-05-28,23:02:13,America/Chicago,2018-05-29,04:02:13,32.780439,-86.73877,199.218735
CRAWFORD BOG,2017-04-08,15:27:14,America/Chicago,2017-04-08,20:27:14,31.078276,-86.505822,54.92012
DRIVE THROUGH MUSEUM,2018-03-29,18:52:41,America/Chicago,2018-03-29,23:52:41,32.328232,-85.168754,128.172485
EGGS,2018-02-07,19:39:28,America/Chicago,2018-02-08,01:39:28,32.486345,-85.603004,20.716667
FIVE RUNS CREEK,2018-05-03,15:59:11,America/Chicago,2018-05-03,20:59:11,31.076096,-86.510521,41.715572
KS R MOREL 1,2016-04-19,23:56:41,America/Chicago,2016-04-20,04:56:41,39.025767,-95.280745,307.807922
LOPHIOLA POND,2018-04-14,20:22:23,America/Chicago,2018-04-15,01:22:23,31.10123,-86.67749,96.620041
MEETUP,2018-05-04,09:09:51,America/Chicago,2018-05-04,14:09:51,30.55105,-86.9016,60.75425
NELLIE POND,2018-05-03,18:17:15,America/Chicago,2018-05-03,23:17:15,31.158677,-86.555004,47.235886
RED HILLS,2018-04-12,23:58:03,America/Chicago,2018-04-13,04:58:03,31.554508,-86.833989,203.236649
TIGER POND,2018-04-14,20:19:09,America/Chicago,2018-04-15,01:19:09,31.08561,-86.65667,95.888741
TNF BEAV POND,2017-10-08,17:45:48,America/Chicago,2017-10-08,22:45:48,32.43328,-85.64391,203.299683
TNF CHOCTAF TRIB1,2017-10-08,18:13:37,America/Chicago,2017-10-08,23:13:37,32.49626,-85.60985,204.146561
TNF LONGLEAF 1,2017-10-08,19:57:37,America/Chicago,2017-10-09,00:57:37,32.45495,-85.6259,196.371902
TNF OPACUM POND WEST,2017-10-08,18:01:12,America/Chicago,2017-10-08,23:01:12,32.48718,-85.6056,205.266464
TNF ORNATA POND,2017-10-08,18:05:34,America/Chicago,2017-10-08,23:05:34,32.40904,-85.60119,203.93779
